player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Patrick DiMarco,00-0028581,RB126,459,RB127,443,,,RB
Andy Janovich,00-0032956,RB127,460,RB128,444,,,RB
Joe Webb,00-0027796,QB54,461,QB56,445,,,QB
Nick Boyle,00-0031598,TE63,462,TE65,446,,,TE
Chris Moore,00-0032398,WR154,463,WR155,447,,,WR
Jermaine Gresham,00-0027873,TE64,464,TE66,448,,,TE
Justin Hunter,00-0030521,WR155,465,WR156,449,,,WR
Demarcus Robinson,00-0032775,WR156,466,WR157,450,,,WR
Brandon Weeden,00-0029677,QB55,467,QB57,451,,,QB
Demetrius Harris,00-0030155,TE65,468,TE67,452,,,TE
Seth DeValve,00-0033080,TE66,469,TE68,453,TE59,403,TE
Nate Sudfeld,00-0032792,QB56,470,QB58,454,,,QB
Lee Smith,00-0028097,TE67,471,TE69,455,,,TE
Lance Kendricks,00-0027985,TE68,472,TE70,456,,,TE
Eli Rogers,00-0031782,WR157,473,WR158,457,,,WR
AJ Derby,00-0031609,TE69,474,TE71,458,,,TE
Benny Cunningham,00-0029795,RB128,475,RB129,459,,,RB
Chad Hansen,00-0033840,WR158,476,WR159,460,,,WR
De'Anthony Thomas,00-0031060,WR159,477,WR160,461,,,WR
Jamize Olawale,00-0029492,RB129,478,RB130,462,,,RB
Chris Herndon,00-0034766,TE70,479,TE72,463,TE58,402,TE
Nick O'Leary,00-0032117,TE71,480,TE73,464,,,TE
Logan Paulsen,00-0027215,TE72,481,TE74,465,,,TE
Geno Smith,00-0030565,QB57,482,QB59,466,,,QB
Mason Rudolph,00-0034771,QB58,483,QB55,440,QB44,397,QB
Josh Hill,00-0030216,TE73,484,TE75,467,,,TE
Blaine Gabbert,00-0027948,QB59,485,QB60,468,,,QB
Kendrick Bourne,00-0033307,WR160,486,WR161,469,,,WR
Josh Reynolds,00-0033943,WR161,487,WR162,470,,,WR
Indianapolis Colts,IND,DST32,488,,,,,DST
