season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2022,ARI,5.0,8.0,7.0,24.0,0.0,0.0,1.0,71.0,0,0,3,4,3,1,2,0,0,0,0,1,1,6,3,2,0
2022,ATL,4.0,10.0,5.0,17.0,1.0,1.0,0.0,51.0,0,0,1,5,2,3,1,1,0,0,0,0,1,9,2,1,0
2022,BAL,1.0,14.0,9.0,39.0,0.0,0.0,2.0,106.0,0,0,5,5,1,1,0,1,0,0,1,3,2,5,1,1,0
2022,BUF,1.0,13.0,8.0,35.0,2.0,0.0,1.0,108.0,0,1,4,3,4,0,1,0,0,0,1,4,1,7,0,0,0
2022,CAR,3.0,10.0,4.0,28.0,0.0,0.0,3.0,81.0,0,0,4,3,3,2,1,0,0,0,1,2,2,5,2,1,0
2022,CHI,0.0,9.0,7.0,16.0,0.0,0.0,1.0,38.0,0,0,3,4,2,3,1,0,0,0,0,2,1,5,3,2,0
2022,CIN,0.0,9.0,6.0,21.0,0.0,0.0,2.0,63.0,0,0,3,6,3,1,0,0,0,0,0,2,4,5,2,0,0
2022,CLE,4.0,6.0,7.0,27.0,0.0,0.0,0.0,68.0,0,0,4,3,3,1,2,0,0,0,0,2,2,4,3,2,0
2022,DAL,3.0,11.0,12.0,48.0,0.0,1.0,1.0,135.0,0,1,3,7,1,1,0,0,0,0,2,2,2,5,2,0,0
2022,DEN,0.0,11.0,5.0,32.0,1.0,0.0,0.0,86.0,0,0,6,4,1,2,0,0,0,0,0,4,4,4,1,0,0
2022,DET,1.0,9.0,9.0,26.0,1.0,0.0,1.0,38.0,0,0,1,1,4,4,2,0,1,0,0,1,1,6,4,1,0
2022,GB,1.0,10.0,5.0,24.0,1.0,0.0,1.0,59.0,0,0,5,1,3,3,0,1,0,0,0,2,1,8,1,1,0
2022,HOU,0.0,10.0,7.0,29.0,1.0,0.0,0.0,49.0,0,0,0,3,5,4,0,1,0,0,1,1,3,5,3,0,0
2022,IND,0.0,5.0,7.0,32.0,0.0,0.0,2.0,68.0,0,0,4,5,4,0,0,0,0,0,0,2,3,7,0,0,1
2022,JAX,1.0,10.0,10.0,23.0,0.0,0.0,0.0,56.0,0,0,2,3,2,5,1,0,0,1,0,2,0,6,3,1,0
2022,KC,2.0,8.0,6.0,42.0,1.0,0.0,0.0,80.0,0,1,3,2,3,4,0,0,0,0,0,1,2,7,3,0,0
2022,LA,0.0,9.0,5.0,26.0,0.0,0.0,1.0,61.0,0,0,4,4,2,3,0,0,0,0,1,1,3,6,2,0,0
2022,LAC,1.0,9.0,7.0,24.0,1.0,0.0,1.0,46.0,0,0,2,4,2,4,1,0,0,0,0,0,3,6,2,2,0
2022,LV,2.0,4.0,6.0,25.0,0.0,0.0,1.0,46.0,0,0,2,1,6,4,0,0,0,0,0,0,3,8,2,0,0
2022,MIA,3.0,7.0,5.0,33.0,0.0,1.0,1.0,72.0,0,0,4,2,4,1,2,0,0,0,0,2,3,5,1,2,0
2022,MIN,2.0,12.0,8.0,30.0,0.0,0.0,1.0,51.0,0,0,2,2,1,2,6,0,0,0,0,1,2,7,2,1,0
2022,NE,5.0,13.0,8.0,45.0,0.0,1.0,0.0,134.0,0,2,1,4,5,1,0,0,0,1,2,1,4,2,2,1,0
2022,NO,0.0,3.0,6.0,34.0,0.0,0.0,1.0,62.0,0,1,2,6,3,1,0,0,0,1,0,1,3,4,4,0,0
2022,NYG,0.0,4.0,10.0,29.0,0.0,1.0,1.0,44.0,0,0,2,3,3,4,1,0,0,0,0,1,3,6,2,0,1
2022,NYJ,1.0,12.0,3.0,39.0,2.0,2.0,1.0,114.0,0,0,9,3,0,1,0,0,0,0,1,3,2,6,1,0,0
2022,PHI,1.0,15.0,9.0,49.0,0.0,0.0,0.0,125.0,0,0,5,6,2,0,0,0,0,0,1,3,5,2,1,1,0
2022,PIT,1.0,14.0,3.0,25.0,0.0,0.0,3.0,56.0,0,1,1,4,3,3,0,0,1,0,0,1,5,4,0,3,0
2022,SEA,2.0,11.0,10.0,34.0,0.0,0.0,1.0,69.0,0,0,2,4,2,3,0,1,1,0,1,1,2,5,1,3,0
2022,SF,3.0,14.0,7.0,36.0,0.0,0.0,0.0,126.0,0,0,8,4,0,0,0,1,0,1,0,5,4,1,1,1,0
2022,TB,1.0,7.0,5.0,38.0,0.0,0.0,1.0,78.0,0,0,6,3,1,2,1,0,0,0,1,2,4,4,0,2,0
2022,TEN,1.0,9.0,4.0,33.0,0.0,0.0,1.0,55.0,0,1,2,1,5,2,1,1,0,0,0,3,3,4,0,3,0
2022,WAS,2.0,7.0,8.0,34.0,1.0,0.0,1.0,93.0,0,1,4,4,2,2,0,0,0,0,0,3,2,7,1,0,0
