season,week,pa_team,ya,int,sk,sfty,pbk,pa,pa_tds,fr,d_td,blkk,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46,fpts
2018,1,ARI,429.0,0.0,3.0,0.0,0.0,24.0,3.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0
2018,1,ATL,234.0,1.0,2.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0
2018,1,BAL,153.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.0
2018,1,BUF,369.0,0.0,2.0,0.0,0.0,47.0,6.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2.0
2018,1,CAR,234.0,0.0,6.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0
2018,1,CHI,370.0,1.0,4.0,0.0,0.0,24.0,3.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.0
2018,1,CIN,380.0,1.0,2.0,0.0,0.0,23.0,2.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11.0
2018,1,CLE,472.0,3.0,4.0,0.0,0.0,21.0,3.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.0
2018,1,DAL,293.0,0.0,3.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
2018,1,DEN,306.0,2.0,6.0,0.0,0.0,24.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.0
2018,1,DET,349.0,1.0,2.0,0.0,0.0,36.0,4.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
2018,1,GB,294.0,0.0,4.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0
2018,1,HOU,389.0,1.0,2.0,0.0,0.0,27.0,3.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.0
2018,1,IND,330.0,1.0,2.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
2018,1,JAX,324.0,1.0,2.0,0.0,0.0,15.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13.0
2018,1,KC,545.0,1.0,1.0,0.0,0.0,28.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
2018,1,LA,395.0,3.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15.0
2018,1,LAC,362.0,0.0,1.0,0.0,0.0,32.0,4.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
2018,1,LV,365.0,0.0,1.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2018,1,MIA,336.0,3.0,0.0,0.0,0.0,20.0,2.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.0
2018,1,MIN,327.0,3.0,3.0,0.0,0.0,16.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.0
2018,1,NE,325.0,1.0,3.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0
2018,1,NO,529.0,0.0,0.0,0.0,0.0,42.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-9.0
2018,1,NYG,305.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
2018,1,NYJ,339.0,5.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0
2018,1,PHI,299.0,1.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.0
2018,1,PIT,327.0,1.0,7.0,0.0,0.0,21.0,3.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
2018,1,SEA,470.0,3.0,1.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0
2018,1,SF,343.0,0.0,3.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2018,1,TB,479.0,0.0,1.0,0.0,0.0,40.0,5.0,2.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
2018,1,TEN,342.0,2.0,1.0,0.0,0.0,27.0,3.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
2018,1,WAS,213.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0
2018,2,ARI,438.0,1.0,2.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
2018,2,ATL,439.0,1.0,2.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0
2018,2,BAL,373.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-2.0
2018,2,BUF,349.0,0.0,2.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
2018,2,CAR,442.0,1.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.0
