season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2024,ARI,1.0,6.0,7.0,34.0,2.0,0.0,0.0,72.0,0,0,5,0,5,2,1,0,0,0,1,3,1,4,3,1,0
2024,ATL,1.0,7.0,4.0,19.0,0.0,0.0,0.0,34.0,0,1,1,4,4,3,0,0,0,0,0,1,0,8,2,2,0
2024,BAL,0.0,7.0,4.0,41.0,0.0,0.0,1.0,53.0,0,0,4,3,1,3,2,0,0,0,0,2,0,7,3,1,0
2024,BUF,2.0,13.0,11.0,29.0,0.0,0.0,0.0,94.0,0,0,6,0,4,2,1,0,0,0,0,5,0,5,1,2,0
2024,CAR,0.0,7.0,6.0,25.0,0.0,0.0,0.0,18.0,0,0,1,3,3,6,0,0,0,0,0,0,1,5,4,2,1
2024,CHI,2.0,10.0,10.0,31.0,0.0,1.0,0.0,72.0,0,0,3,4,2,1,3,0,0,0,0,1,2,8,1,1,0
2024,CIN,2.0,7.0,5.0,21.0,1.0,0.0,1.0,37.0,0,0,3,2,4,1,0,2,0,0,0,1,2,3,1,5,0
2024,CLE,2.0,4.0,7.0,33.0,1.0,0.0,1.0,63.0,0,0,4,3,3,2,1,0,0,0,0,1,0,9,2,1,0
2024,DAL,4.0,9.0,6.0,34.0,0.0,0.0,1.0,65.0,0,0,3,3,1,2,3,0,0,0,0,0,3,3,4,1,1
2024,DEN,4.0,12.0,6.0,47.0,2.0,0.0,0.0,127.0,0,0,6,3,3,0,0,0,1,0,1,4,2,4,1,1,0
2024,DET,2.0,14.0,6.0,31.0,0.0,0.0,0.0,99.0,0,1,6,1,2,2,0,1,0,0,2,2,2,6,1,0,0
2024,GB,1.0,12.0,12.0,33.0,0.0,0.0,2.0,102.0,0,1,3,2,6,1,0,0,0,0,0,4,2,4,3,0,0
2024,HOU,2.0,16.0,6.0,42.0,0.0,0.0,0.0,111.0,0,0,6,4,3,0,0,0,0,0,0,2,0,9,2,0,0
2024,IND,1.0,9.0,9.0,32.0,0.0,1.0,0.0,58.0,0,0,2,1,4,5,1,0,0,0,0,1,3,7,1,1,0
2024,JAX,2.0,5.0,3.0,25.0,0.0,0.0,2.0,29.0,0,0,3,1,2,6,0,0,1,0,1,1,2,3,3,1,2
2024,KC,1.0,6.0,4.0,27.0,0.0,0.0,1.0,67.0,0,0,6,4,1,1,1,0,0,0,0,2,4,6,1,0,0
2024,LA,4.0,10.0,5.0,28.0,1.0,1.0,2.0,68.0,0,0,3,3,2,3,2,0,0,0,0,0,2,8,0,3,0
2024,LAC,1.0,13.0,4.0,39.0,0.0,0.0,1.0,104.0,0,1,4,4,3,0,1,0,0,0,2,3,4,3,1,0,0
2024,LV,1.0,7.0,1.0,29.0,0.0,0.0,0.0,43.0,0,0,4,4,3,2,0,0,0,0,0,1,1,4,5,2,0
2024,MIA,0.0,7.0,4.0,24.0,0.0,0.0,0.0,58.0,0,0,6,3,3,1,0,0,0,0,0,2,3,5,3,0,0
2024,MIN,3.0,20.0,7.0,40.0,0.0,1.0,1.0,125.0,0,1,5,0,3,2,2,0,0,0,1,4,2,3,3,0,0
2024,NE,1.0,6.0,5.0,27.0,0.0,1.0,0.0,50.0,0,1,2,1,5,4,0,0,0,0,1,1,1,7,2,1,0
2024,NO,1.0,13.0,3.0,29.0,1.0,1.0,2.0,58.0,0,1,1,3,3,1,3,0,1,0,0,2,3,7,0,1,0
2024,NYG,1.0,2.0,8.0,38.0,0.0,0.0,2.0,64.0,0,0,3,6,1,2,1,0,0,0,0,0,4,7,2,0,0
2024,NYJ,1.0,2.0,8.0,37.0,0.0,1.0,1.0,73.0,0,2,3,3,2,3,0,0,0,0,1,2,2,3,4,1,0
2024,PHI,0.0,8.0,7.0,37.0,0.0,0.0,1.0,92.0,0,2,6,1,2,2,0,0,0,0,2,1,4,4,2,0,0
2024,PIT,2.0,15.0,13.0,32.0,0.0,1.0,2.0,126.0,0,1,4,4,3,1,0,0,0,0,1,3,3,5,1,0,0
2024,SEA,5.0,11.0,4.0,32.0,1.0,1.0,2.0,98.0,0,0,5,1,4,2,1,0,0,0,2,0,3,4,2,2,0
2024,SF,2.0,11.0,6.0,35.0,0.0,0.0,1.0,91.0,0,1,6,2,3,1,0,0,0,0,0,2,0,8,1,2,0
2024,TB,1.0,6.0,10.0,35.0,1.0,0.0,1.0,60.0,0,0,4,1,4,1,1,1,1,0,0,2,2,5,2,2,0
2024,TEN,0.0,8.0,4.0,27.0,2.0,0.0,0.0,64.0,0,2,6,2,2,0,1,0,0,0,0,2,1,7,1,1,1
2024,WAS,1.0,4.0,9.0,32.0,0.0,0.0,1.0,64.0,0,1,3,5,1,2,1,0,0,0,0,2,2,4,4,1,0
