season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2020,ARI,0.0,10.0,8.0,37.0,0.0,1.0,0.0,71.0,0,2,1,5,2,1,1,0,1,0,0,3,1,4,5,0,0
2020,ATL,1.0,9.0,9.0,25.0,0.0,0.0,0.0,40.0,0,0,1,2,4,5,0,0,1,0,1,0,1,7,2,2,0
2020,BAL,4.0,8.0,11.0,28.0,1.0,0.0,0.0,91.0,0,0,2,6,2,1,1,1,0,0,2,2,3,2,3,1,0
2020,BUF,1.0,12.0,8.0,31.0,0.0,0.0,0.0,56.0,0,1,2,1,3,3,3,0,0,0,0,1,3,4,4,1,0
2020,CAR,2.0,5.0,13.0,19.0,0.0,0.0,1.0,54.0,0,1,2,1,5,3,0,1,0,1,0,0,2,5,4,0,1
2020,CHI,2.0,7.0,7.0,30.0,1.0,0.0,1.0,72.0,0,0,4,2,5,1,1,0,0,0,0,2,1,8,1,1,0
2020,CIN,1.0,9.0,3.0,15.0,0.0,0.0,0.0,18.0,0,0,1,2,5,5,0,0,0,0,0,0,1,8,1,3,0
2020,CLE,2.0,10.0,10.0,34.0,2.0,0.0,1.0,67.0,0,0,2,4,4,1,1,0,1,0,0,1,2,3,3,4,0
2020,DAL,2.0,5.0,8.0,24.0,0.0,0.0,1.0,26.0,0,0,1,3,3,5,0,1,0,0,0,1,1,3,3,4,1
2020,DEN,1.0,8.0,3.0,36.0,0.0,0.0,2.0,58.0,0,0,4,1,5,2,1,0,0,0,0,2,1,5,3,2,0
2020,DET,0.0,7.0,5.0,18.0,0.0,3.0,1.0,12.0,0,0,1,0,8,1,3,0,0,0,0,0,1,5,3,4,0
2020,GB,2.0,8.0,5.0,35.0,1.0,0.0,0.0,75.0,0,0,3,5,4,1,0,0,0,0,0,1,3,4,5,0,0
2020,HOU,1.0,3.0,5.0,31.0,0.0,1.0,1.0,22.0,0,0,0,0,7,5,0,0,1,0,0,1,1,5,4,2,0
2020,IND,6.0,15.0,7.0,28.0,3.0,1.0,0.0,125.0,0,1,5,1,4,2,0,0,0,0,0,3,1,7,1,1,0
2020,JAX,3.0,9.0,5.0,16.0,0.0,1.0,0.0,18.0,0,0,1,0,4,3,4,1,0,0,0,0,0,6,6,1,0
2020,KC,4.0,15.0,5.0,24.0,1.0,0.0,1.0,79.0,0,0,3,1,4,3,2,0,0,0,0,2,3,5,2,1,0
2020,LA,3.0,13.0,9.0,42.0,0.0,0.0,0.0,130.0,0,2,5,2,4,0,0,0,0,0,2,2,4,3,1,1,0
2020,LAC,2.0,9.0,6.0,23.0,0.0,0.0,2.0,60.0,0,0,5,4,1,2,1,0,0,0,0,1,1,4,5,2,0
2020,LV,0.0,10.0,5.0,15.0,0.0,0.0,0.0,8.0,0,0,1,3,2,4,3,0,0,0,1,1,0,2,5,4,0
2020,MIA,3.0,16.0,8.0,34.0,0.0,1.0,0.0,101.0,0,1,4,1,1,3,2,1,0,1,1,2,2,4,3,0,0
2020,MIN,0.0,11.0,6.0,21.0,1.0,0.0,2.0,35.0,0,1,0,2,5,3,1,1,0,0,0,1,1,7,2,2,0
2020,NE,4.0,15.0,4.0,19.0,0.0,0.0,2.0,88.0,0,0,4,4,3,1,1,0,0,1,0,1,2,7,1,1,0
2020,NO,1.0,13.0,7.0,36.0,0.0,0.0,1.0,102.0,0,2,4,3,3,1,0,0,0,0,2,2,1,5,2,1,0
2020,NYG,2.0,10.0,9.0,33.0,0.0,0.0,0.0,78.0,0,1,1,6,1,4,0,0,0,0,0,1,4,6,1,1,0
2020,NYJ,1.0,9.0,7.0,21.0,1.0,1.0,0.0,20.0,0,0,0,2,4,5,2,0,0,0,0,0,0,5,5,3,0
2020,PHI,3.0,4.0,9.0,43.0,1.0,0.0,2.0,80.0,0,0,2,4,4,3,0,0,0,0,0,1,1,7,2,2,0
2020,PIT,3.0,17.0,8.0,45.0,1.0,0.0,0.0,132.0,0,0,6,5,1,0,1,0,0,0,1,2,2,7,1,0,0
2020,SEA,0.0,11.0,7.0,36.0,3.0,1.0,1.0,54.0,0,1,2,1,2,3,1,3,0,0,1,0,2,7,1,2,0
2020,SF,1.0,11.0,7.0,23.0,0.0,0.0,1.0,74.0,0,1,5,2,1,4,0,0,0,0,1,3,2,3,2,2,0
2020,TB,1.0,14.0,7.0,40.0,1.0,1.0,0.0,91.0,0,1,4,3,1,3,0,1,0,0,0,2,2,7,1,1,0
2020,TEN,2.0,12.0,6.0,14.0,0.0,0.0,1.0,34.0,0,0,0,3,5,2,3,0,0,0,0,1,3,3,4,2,0
2020,WAS,3.0,12.0,6.0,40.0,1.0,0.0,0.0,105.0,0,1,4,3,3,2,0,0,0,0,1,1,5,1,5,0,0
