season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2023,ARI,1.0,9.0,7.0,32.0,0.0,0.0,0.0,54.0,0,0,3,3,3,3,1,0,0,0,0,1,1,6,3,2,0
2023,ATL,1.0,7.0,8.0,27.0,1.0,0.0,0.0,79.0,0,1,4,3,4,1,0,0,0,0,1,2,2,6,2,0,0
2023,BAL,2.0,11.0,8.0,49.0,1.0,0.0,0.0,134.0,0,2,6,3,1,1,0,0,0,0,3,2,2,5,1,0,0
2023,BUF,1.0,12.0,12.0,42.0,0.0,0.0,1.0,110.0,0,1,3,4,4,0,1,0,0,0,2,2,2,5,1,1,0
2023,CAR,3.0,7.0,2.0,20.0,0.0,0.0,0.0,62.0,0,1,6,3,1,2,0,0,0,0,0,1,4,5,0,3,0
2023,CHI,1.0,15.0,5.0,21.0,0.0,0.0,2.0,80.0,0,0,5,4,2,1,1,0,0,0,0,5,0,4,3,1,0
2023,CIN,2.0,13.0,7.0,35.0,0.0,0.0,0.0,73.0,0,0,3,1,3,4,1,1,0,0,0,2,3,5,3,0,0
2023,CLE,2.0,12.0,9.0,38.0,0.0,0.0,2.0,127.0,2,1,6,1,2,0,1,0,0,1,2,1,2,4,2,1,0
2023,DAL,7.0,13.0,8.0,39.0,1.0,1.0,1.0,153.0,0,3,5,1,1,3,0,0,0,1,1,4,2,1,2,2,0
2023,DEN,2.0,11.0,13.0,34.0,1.0,0.0,0.0,86.0,0,0,4,1,5,1,1,0,1,0,0,3,2,5,1,1,1
2023,DET,1.0,9.0,5.0,28.0,1.0,0.0,1.0,66.0,0,2,2,4,3,1,0,1,0,0,2,1,0,5,3,2,0
2023,GB,2.0,6.0,9.0,29.0,0.0,0.0,2.0,76.0,0,1,2,5,2,2,1,0,0,0,1,1,1,9,1,0,0
2023,HOU,1.0,11.0,8.0,31.0,0.0,0.0,1.0,77.0,0,0,4,3,2,4,0,0,0,0,1,1,4,4,2,1,0
2023,IND,5.0,13.0,7.0,42.0,0.0,1.0,0.0,104.0,0,0,3,4,4,0,1,1,0,0,1,1,2,3,4,2,0
2023,JAX,2.0,13.0,12.0,27.0,0.0,0.0,0.0,83.0,0,0,4,0,6,2,1,0,0,0,0,2,3,4,3,1,0
2023,KC,1.0,7.0,8.0,42.0,0.0,0.0,1.0,102.0,0,1,5,3,4,0,0,0,0,0,0,3,4,6,0,0,0
2023,LA,0.0,7.0,5.0,29.0,2.0,0.0,0.0,54.0,0,1,2,5,3,0,2,0,0,0,0,2,2,6,2,1,0
2023,LAC,1.0,7.0,10.0,43.0,0.0,0.0,0.0,73.0,0,0,4,3,2,0,2,2,0,1,1,1,1,6,1,2,0
2023,LV,1.0,10.0,4.0,33.0,1.0,0.0,1.0,78.0,0,0,5,3,2,1,2,0,0,0,2,2,2,5,1,1,0
2023,MIA,4.0,11.0,8.0,42.0,0.0,0.0,0.0,116.0,0,1,7,0,2,3,0,0,0,0,0,3,5,1,3,0,1
2023,MIN,2.0,10.0,9.0,36.0,0.0,0.0,0.0,107.0,0,0,7,3,1,1,1,0,0,1,0,4,1,5,2,0,0
2023,NE,0.0,7.0,5.0,26.0,1.0,0.0,1.0,72.0,0,1,5,3,3,1,0,0,0,0,1,3,0,7,2,0,0
2023,NO,3.0,14.0,8.0,23.0,0.0,0.0,0.0,100.0,0,1,3,4,5,0,0,0,0,1,1,0,3,7,1,0,0
2023,NYG,2.0,13.0,8.0,23.0,0.0,0.0,1.0,71.0,0,0,6,2,1,2,0,1,1,0,0,3,1,3,5,0,1
2023,NYJ,3.0,12.0,6.0,36.0,3.0,0.0,0.0,116.0,0,4,1,3,4,1,0,0,0,0,1,3,3,3,3,0,0
2023,PHI,2.0,6.0,8.0,37.0,1.0,0.0,1.0,67.0,0,1,3,1,4,1,2,1,0,0,0,2,2,3,5,1,0
2023,PIT,2.0,13.0,8.0,36.0,1.0,1.0,1.0,98.0,0,0,3,3,5,1,1,0,0,0,0,3,2,6,2,0,0
2023,SEA,3.0,9.0,8.0,39.0,0.0,0.0,1.0,75.0,0,0,4,0,4,3,0,2,0,0,1,1,2,3,4,2,0
2023,SF,0.0,17.0,6.0,40.0,0.0,0.0,0.0,108.0,0,2,4,3,2,1,1,0,0,0,1,4,3,4,1,0,0
2023,TB,1.0,11.0,7.0,38.0,1.0,0.0,0.0,73.0,0,1,3,0,3,4,2,0,0,0,1,1,3,7,0,1,0
2023,TEN,0.0,3.0,6.0,37.0,0.0,0.0,2.0,61.0,0,0,2,5,5,1,0,0,0,0,1,1,1,8,2,0,0
2023,WAS,0.0,6.0,6.0,35.0,0.0,0.0,0.0,27.0,0,0,2,1,4,4,2,0,0,0,0,1,3,1,4,4,0
