season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2021,ARI,1.0,12.0,11.0,35.0,0.0,0.0,0.0,101.0,0,1,3,5,2,2,0,0,0,0,1,3,2,5,2,0,0
2021,ATL,2.0,8.0,7.0,16.0,0.0,0.0,1.0,37.0,0,0,1,5,2,5,0,0,0,0,0,0,2,5,4,2,0
2021,BAL,0.0,6.0,5.0,26.0,0.0,0.0,1.0,47.0,0,0,5,2,2,1,1,2,0,0,1,3,2,3,3,1,0
2021,BUF,1.0,16.0,10.0,23.0,0.0,0.0,1.0,109.0,0,2,6,0,4,0,1,0,0,2,1,2,2,3,2,1,0
2021,CAR,1.0,8.0,7.0,32.0,1.0,1.0,0.0,86.0,0,3,4,3,1,1,0,0,1,0,0,4,1,5,2,1,0
2021,CHI,2.0,5.0,6.0,36.0,0.0,0.0,0.0,63.0,0,0,6,1,2,3,1,0,0,0,0,1,4,2,4,2,0
2021,CIN,1.0,11.0,6.0,37.0,0.0,0.0,0.0,72.0,0,0,3,3,4,1,1,1,0,0,0,4,2,4,1,2,0
2021,CLE,2.0,11.0,5.0,35.0,0.0,0.0,1.0,80.0,1,0,3,3,4,0,2,0,0,0,1,2,4,2,1,2,1
2021,DAL,7.0,20.0,7.0,31.0,0.0,2.0,1.0,119.0,0,0,3,1,4,4,0,1,0,0,1,0,5,2,4,1,0
2021,DEN,1.0,12.0,4.0,30.0,0.0,0.0,3.0,96.0,0,2,2,3,4,2,0,0,0,1,0,5,3,3,1,0,0
2021,DET,0.0,8.0,6.0,20.0,0.0,0.0,1.0,26.0,0,0,0,2,9,2,0,0,0,0,0,1,2,4,2,4,0
2021,GB,2.0,14.0,8.0,30.0,0.0,0.0,1.0,98.0,0,0,5,4,2,2,0,0,0,1,0,2,3,3,3,1,0
2021,HOU,0.0,14.0,7.0,26.0,1.0,0.0,0.0,40.0,0,0,2,0,6,2,3,0,0,0,0,1,1,4,5,2,0
2021,IND,2.0,15.0,13.0,29.0,0.0,1.0,0.0,95.0,0,1,2,3,5,0,1,1,0,1,1,0,3,3,4,1,0
2021,JAX,2.0,5.0,1.0,24.0,0.0,0.0,0.0,32.0,0,0,3,3,2,5,0,0,0,0,1,0,0,7,3,2,0
2021,KC,3.0,13.0,10.0,24.0,0.0,0.0,1.0,85.0,0,0,4,2,2,2,3,0,0,0,0,5,2,1,4,1,0
2021,LA,0.0,14.0,6.0,36.0,0.0,0.0,0.0,71.0,0,2,1,3,3,3,1,0,0,0,0,2,2,7,1,1,0
2021,LAC,1.0,10.0,8.0,29.0,0.0,0.0,0.0,55.0,0,0,2,5,3,2,0,1,0,0,0,0,2,8,1,2,0
2021,LV,0.0,5.0,8.0,29.0,1.0,0.0,0.0,41.0,0,0,4,2,3,3,0,1,0,0,0,0,3,5,3,2,0
2021,MIA,3.0,11.0,9.0,31.0,0.0,1.0,0.0,87.0,0,1,2,3,5,0,1,0,1,0,0,4,2,3,2,2,0
2021,MIN,3.0,11.0,5.0,41.0,0.0,0.0,0.0,65.0,0,0,2,2,4,2,2,1,0,0,0,0,3,3,7,0,0
2021,NE,3.0,19.0,7.0,32.0,0.0,0.0,0.0,131.0,0,1,6,1,4,0,0,0,1,1,2,4,1,4,1,0,0
2021,NO,2.0,14.0,3.0,29.0,0.0,1.0,1.0,84.0,0,0,4,1,6,1,1,0,0,0,1,3,0,7,2,0,0
2021,NYG,1.0,13.0,6.0,25.0,1.0,0.0,0.0,50.0,0,1,2,1,2,6,0,1,0,0,1,1,2,4,2,3,0
2021,NYJ,0.0,4.0,5.0,30.0,0.0,0.0,0.0,8.0,0,0,2,3,2,2,2,1,1,0,0,0,1,6,3,2,1
2021,PHI,4.0,9.0,4.0,21.0,0.0,1.0,1.0,79.0,0,0,5,3,2,2,1,0,0,0,2,2,2,2,3,2,0
2021,PIT,1.0,8.0,5.0,37.0,0.0,2.0,0.0,50.0,0,0,1,4,4,2,1,1,0,0,0,1,2,7,0,3,0
2021,SEA,1.0,7.0,6.0,21.0,1.0,0.0,1.0,39.0,0,0,0,4,4,1,3,1,0,0,0,3,3,5,2,0,0
2021,SF,2.0,6.0,10.0,33.0,0.0,0.0,1.0,83.0,0,0,4,5,2,2,0,0,0,0,0,3,1,3,6,0,0
2021,TB,2.0,15.0,10.0,35.0,0.0,0.0,0.0,93.0,0,0,3,3,4,1,2,0,0,0,1,2,2,3,5,0,0
2021,TEN,3.0,13.0,5.0,32.0,0.0,0.0,0.0,81.0,0,2,1,3,4,2,1,0,0,1,1,0,2,4,3,2,0
2021,WAS,2.0,8.0,5.0,28.0,0.0,0.0,1.0,58.0,0,0,4,3,3,1,2,0,0,0,0,1,2,5,4,1,0
