season,week,pa_team,ya,int,sk,sfty,pbk,pa,pa_tds,fr,d_td,blkk,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46,fpts
2024,1,ARI,352.0,0.0,2.0,0.0,0.0,34.0,4.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.0
2024,1,ATL,270.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
2024,1,BAL,353.0,1.0,2.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,1,BUF,272.0,0.0,4.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
2024,1,CAR,379.0,0.0,1.0,0.0,0.0,47.0,5.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-3.0
2024,1,CHI,244.0,2.0,3.0,0.0,1.0,17.0,2.0,1.0,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.0
2024,1,CIN,290.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
2024,1,CLE,265.0,0.0,3.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,1,DAL,230.0,2.0,6.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.0
2024,1,DEN,304.0,1.0,2.0,2.0,0.0,26.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
2024,1,DET,387.0,1.0,2.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,1,GB,410.0,2.0,2.0,0.0,0.0,34.0,4.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.0
2024,1,HOU,303.0,1.0,2.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
2024,1,IND,417.0,0.0,4.0,0.0,1.0,29.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0
2024,1,JAX,400.0,0.0,3.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
2024,1,KC,452.0,0.0,1.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-2.0
2024,1,LA,363.0,1.0,2.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,1,LAC,296.0,1.0,4.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.0
2024,1,LV,316.0,0.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
2024,1,MIA,267.0,0.0,3.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
2024,1,MIN,240.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.0
2024,1,NE,224.0,0.0,3.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.0
2024,1,NO,193.0,2.0,4.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.0
2024,1,NYG,312.0,1.0,1.0,0.0,0.0,22.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,1,NYJ,401.0,0.0,3.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.0
2024,1,PHI,414.0,1.0,2.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
2024,1,PIT,226.0,2.0,2.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0
2024,1,SEA,231.0,2.0,2.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0
2024,1,SF,266.0,1.0,1.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0
2024,1,TB,299.0,0.0,2.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
2024,1,TEN,150.0,0.0,2.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0
2024,1,WAS,392.0,0.0,1.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-3.0
2024,2,ARI,245.0,0.0,5.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.0
2024,2,ATL,367.0,1.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
2024,2,BAL,260.0,1.0,5.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0
2024,2,BUF,351.0,3.0,2.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.0
2024,2,CAR,349.0,1.0,1.0,0.0,0.0,26.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,2,CHI,310.0,0.0,3.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,2,CIN,286.0,2.0,2.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
2024,2,CLE,323.0,0.0,4.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.0
2024,2,DAL,432.0,1.0,1.0,0.0,0.0,44.0,6.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.0
2024,2,DEN,251.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0
2024,2,DET,216.0,1.0,5.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0
2024,2,GB,338.0,3.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0
2024,2,HOU,205.0,2.0,7.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.0
2024,2,IND,383.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
2024,2,JAX,297.0,0.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
2024,2,KC,320.0,0.0,3.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
2024,2,LA,489.0,0.0,1.0,0.0,0.0,41.0,5.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-5.0
2024,2,LAC,159.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.0
2024,2,LV,358.0,1.0,2.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,2,MIA,247.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
2024,2,MIN,396.0,1.0,6.0,0.0,1.0,17.0,2.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.0
2024,2,NE,358.0,0.0,3.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
2024,2,NO,353.0,2.0,3.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0
2024,2,NYG,425.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0
2024,2,NYJ,300.0,1.0,4.0,0.0,1.0,17.0,2.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0
2024,2,PHI,385.0,0.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2024,2,PIT,295.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0
2024,2,SEA,310.0,0.0,3.0,0.0,0.0,20.0,2.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,2,SF,403.0,1.0,4.0,0.0,0.0,23.0,2.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.0
2024,2,TB,463.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0
2024,2,TEN,265.0,0.0,2.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
2024,2,WAS,304.0,0.0,1.0,0.0,0.0,18.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,3,ARI,373.0,1.0,2.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2024,3,ATL,345.0,1.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
