season,pa_team,d_td,int,fr,sk,sfty,pbk,blkk,fpts,YA100,YA199,YA299,YA349,YA399,YA449,YA499,YA549,YA550,PA0,PA1,PA7,PA14,PA18,PA28,PA35,PA46
2019,ARI,0.0,6.0,8.0,33.0,0.0,0.0,0.0,19.0,0,0,2,1,1,5,2,2,0,0,0,0,1,5,6,1,0
2019,ATL,1.0,10.0,4.0,23.0,0.0,0.0,1.0,45.0,0,0,3,4,3,2,0,0,1,0,1,1,0,6,3,1,1
2019,BAL,5.0,11.0,9.0,33.0,0.0,0.0,1.0,118.0,0,0,6,4,1,0,0,2,0,0,1,3,5,2,1,1,0
2019,BUF,1.0,9.0,7.0,38.0,1.0,0.0,2.0,104.0,0,1,5,2,4,1,0,0,0,0,1,3,4,4,1,0,0
2019,CAR,1.0,13.0,7.0,47.0,2.0,1.0,1.0,76.0,0,0,3,2,3,3,1,1,0,0,0,1,0,7,3,1,1
2019,CHI,2.0,8.0,8.0,30.0,0.0,0.0,0.0,86.0,0,0,5,0,6,2,0,0,0,0,1,2,5,4,1,0,0
2019,CIN,1.0,7.0,5.0,21.0,1.0,0.0,0.0,24.0,0,0,2,3,2,1,3,1,1,0,1,0,2,8,0,2,0
2019,CLE,1.0,12.0,5.0,37.0,0.0,0.0,2.0,76.0,0,0,3,6,1,1,2,0,0,0,1,1,1,7,2,1,0
2019,DAL,1.0,5.0,9.0,34.0,0.0,0.0,0.0,82.0,0,0,6,2,4,0,1,0,0,0,1,3,1,5,3,0,0
2019,DEN,1.0,9.0,5.0,31.0,0.0,0.0,1.0,71.0,0,0,4,3,3,2,1,0,0,1,0,1,2,9,0,0,0
2019,DET,2.0,5.0,11.0,25.0,0.0,0.0,0.0,35.0,0,0,2,0,4,4,1,2,0,0,0,1,0,8,2,2,0
2019,GB,0.0,13.0,6.0,32.0,0.0,0.0,1.0,64.0,0,0,3,5,0,3,1,0,1,0,1,1,4,5,1,1,0
2019,HOU,1.0,7.0,9.0,26.0,0.0,0.0,0.0,52.0,0,0,3,1,6,1,1,1,0,0,1,1,2,4,4,1,0
2019,IND,1.0,11.0,8.0,33.0,2.0,0.0,0.0,84.0,0,0,5,2,4,1,0,1,0,0,0,3,2,5,2,1,0
2019,JAX,1.0,8.0,7.0,39.0,0.0,0.0,2.0,61.0,0,0,3,3,2,2,2,1,0,0,0,3,2,3,2,3,0
2019,KC,3.0,13.0,7.0,37.0,0.0,0.0,2.0,89.0,0,0,2,4,2,3,2,0,0,0,1,2,2,3,5,0,0
2019,LA,3.0,9.0,8.0,43.0,1.0,0.0,0.0,110.0,0,1,5,3,0,2,2,0,0,0,1,7,0,2,1,1,1
2019,LAC,1.0,9.0,3.0,27.0,0.0,0.0,0.0,76.0,0,1,5,2,4,1,0,0,0,0,0,4,1,8,0,0,0
2019,LV,2.0,9.0,4.0,27.0,0.0,0.0,0.0,38.0,0,0,3,3,2,1,3,0,1,0,0,1,1,5,4,2,0
2019,MIA,1.0,9.0,1.0,17.0,1.0,0.0,0.0,9.0,0,0,0,4,5,1,2,0,1,0,0,1,2,2,5,2,1
2019,MIN,1.0,13.0,7.0,38.0,1.0,1.0,0.0,92.0,0,0,4,3,2,4,0,0,0,0,0,4,2,5,1,1,0
2019,NE,6.0,21.0,10.0,41.0,1.0,4.0,0.0,197.0,0,3,4,4,2,0,0,0,0,2,1,7,0,1,2,0,0
2019,NO,3.0,11.0,8.0,43.0,1.0,1.0,0.0,100.0,0,0,5,3,2,1,0,2,0,0,1,2,1,6,2,0,1
2019,NYG,3.0,10.0,5.0,29.0,0.0,1.0,1.0,57.0,0,1,2,2,2,3,3,0,0,0,1,0,0,5,6,1,0
2019,NYJ,4.0,8.0,8.0,29.0,2.0,0.0,0.0,96.0,0,0,5,2,6,0,0,0,0,0,1,0,2,7,3,0,0
2019,PHI,2.0,10.0,6.0,36.0,0.0,0.0,2.0,82.0,0,2,3,2,2,3,1,0,0,0,1,1,4,4,0,3,0
2019,PIT,4.0,18.0,15.0,48.0,0.0,0.0,1.0,159.0,0,1,6,3,0,2,1,0,0,0,2,2,3,4,2,0,0
2019,SEA,3.0,13.0,17.0,23.0,0.0,1.0,1.0,85.0,0,0,2,4,1,3,2,1,0,0,0,2,0,7,4,0,0
2019,SF,4.0,11.0,13.0,45.0,0.0,0.0,0.0,149.0,0,3,6,2,1,0,1,0,0,1,1,4,1,5,0,0,1
2019,TB,4.0,9.0,13.0,34.0,0.0,0.0,0.0,84.0,0,0,4,3,2,1,2,1,0,0,0,2,0,4,5,2,0
2019,TEN,4.0,11.0,9.0,35.0,1.0,0.0,4.0,107.0,0,0,3,2,6,1,0,1,0,0,0,2,3,6,2,0,0
2019,WAS,1.0,13.0,7.0,40.0,0.0,0.0,0.0,78.0,0,0,5,1,2,4,1,0,0,0,0,1,2,6,4,0,0
