player_id,player_full_name,player_name,position,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0033911,Taywan Taylor2,T.Taylor2,WR,WR79,240.7,WR100,268,WR83,262
00-0031023,Quincy Enunwa,Q.Enunwa,WR,WR80,242.3,WR81,224.5,WR82,259.3
00-0034681,Chase Edmonds,C.Edmonds,RB,RB71,245,RB79,267,RB72,250
00-0032411,Kenneth Dixon,K.Dixon,RB,RB70,245,RB70,199,RB71,242.3
00-0034765,Tre'Quan Smith1,T.Smith1,WR,WR81,246.7,WR98,258,WR79,245.3
00-0023564,Darren Sproles,D.Sproles,RB,RB72,247.7,RB76,259,RB74,266
00-0029000,Cole Beasley,C.Beasley,WR,WR82,248,WR87,227,WR78,237
99-9999999,Phillip Dorsett II,P.Dorsett II,WR,WR83,248.3,WR89,232,WR77,229
88-8888888,Dallas Cowboys,D.Cowboys,DS,DST20,250,,,DST21,229.7
00-0034808,John Kelly,J.Kelly,RB,RB73,252,RB67,232.5,RB65,241.3
00-0026153,Jonathan Stewart,J.Stewart,RB,RB74,255,RB78,264,RB75,269.3
00-0034351,Dallas Goedert,D.Goedert,TE,TE28,255.7,TE31,237,TE28,248
00-0034796,Lamar Jackson,L.Jackson,QB,QB31,255.7,QB29,219,QB33,250.3
00-0028825,Terrelle Pryor,T.Pryor,WR,WR84,255.7,WR85,222,WR88,241.5
88-8888888,Green Bay Packers,G.Bay Packers,DS,DST21,256,,,DST20,227.7
00-0034869,Sam Darnold,S.Darnold,QB,QB32,256.7,QB33,266,QB30,241.7
00-0032726,Ka'imi Fairbairn,K.Fairbairn,K,K20,258,K18,229,K24,249.5
00-0030578,Cordarrelle Patterson,C.Patterson,RB,RB75,258.7,RB74,254,RB77,276.7
00-0024334,Brandon Marshall1,B.Marshall1,WR,WR85,259,WR95,246,WR81,257.3
88-8888888,Cleveland Browns,C.Browns,DS,DST22,259.5,DST12,190,DST19,222.7
00-0029822,Brandon McManus,B.McManus,K,K16,260.7,K15,235.5,K17,235
00-0034753,Mark Andrews,M.Andrews,TE,TE41,261,TE39,274,TE40,302
00-0027854,Sam Bradford,S.Bradford,QB,QB33,261.7,QB31,231,QB29,233
00-0033896,Adam Shaheen,A.Shaheen,TE,TE42,262,TE41,281,TE43,283
00-0032087,Josh Lambo,J.Lambo,K,K17,263.7,K17,221,K18,236
00-0033054,Rico Gathers,R.Gathers,TE,TE44,265,TE43,289,TE42,322
00-0031900,Rod Smith,R.Smith,RB,RB76,265,RB75,257,RB73,258.3
00-0034860,Dante Pettis,D.Pettis,WR,WR86,265.3,WR99,265,WR91,261.5
00-0029159,Jermaine Kearse,J.Kearse,WR,WR87,265.7,WR86,224,WR87,283.7
00-0028660,Dan Bailey,D.Bailey,K,K18,266,K13,277.5,K14,230.8
00-0033564,Jake Butt,J.Butt,TE,TE29,267.3,TE28,214,TE29,256
99-9999999,Willie Snead,W.Snead,WR,WR102,273,WR88,228,WR96,293
00-0034331,Jaylen Samuels,J.Samuels,RB,RB81,273,RB73,234,RB80,275
00-0030525,Tavon Austin,T.Austin,WR,WR89,275,WR83,216,WR93,265
00-0024221,Vernon Davis,V.Davis,TE,TE30,276,TE33,243,TE30,262.7
99-9999999,Chris Warren,C.Warren,RB,RB83,276,,,RB91,275
