player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Laquon Treadwell,00-0032951,WR155,428,WR122,309,WR112,298,WR
Detroit Lions,DET,DST26,429,DST19,256,DST28,285,DST
Zach Zenner,00-0031665,RB118,430,RB97,301,RB92,302,RB
Danny Vitale,00-0032794,RB142,431,,,,,RB
Mike Gesicki,00-0034829,TE28,432,TE27,247,TE28,256,TE
Chase Edmonds,00-0034681,RB71,433,RB70,220,RB69,242,RB
Tim Tebow,Tim Tebow,TE78,434,TE46,351,,,TE
Alex Erickson,00-0032543,WR177,435,,,,,WR
Rex Burkhead,00-0030288,RB69,436,RB58,229,RB85,287,RB
Tom Savage,00-0031064,QB56,437,,,,,QB
Danny Amendola,00-0026035,WR83,438,WR108,285,WR95,269,WR
Washington Commanders,WAS,DST25,439,DST26,284,DST21,261,DST
Cairo Santos,00-0031203,K54,440,,,,,K
Lucky Whitehead,00-0031757,WR144,441,WR118,304,,,WR
Robert Tonyan,00-0033757,TE79,442,,,,,TE
Andrew Franks,Andrew Franks,K55,443,,,,,K
Devin Smith,00-0031934,WR178,444,,,,,WR
Matt Moore,00-0025708,QB57,445,,,,,QB
Aaron Hernandez,Aaron Hernandez,TE81,446,TE47,355,,,TE
Tommy Sweeney,00-0035308,TE82,447,,,,,TE
Ashton Dulin,00-0035021,WR180,448,,,,,WR
Irv Smith,00-0034970,TE30,449,TE28,248,TE30,234,TE
Ryan Succop,00-0026968,K21,450,K23,314,K22,281,K
Troy Fumagalli,00-0034393,TE83,451,,,,,TE
Chris Blewitt,00-0034913,K56,452,,,,,K
Elijhaa Penny,00-0032813,RB146,453,,,,,RB
Marlon Brown,00-0030400,WR181,454,WR148,357,,,WR
Chandler,Chandler,RB147,455,,,,,RB
Ryquell Armstead,00-0035268,RB72,456,RB69,216,RB73,258,RB
Bisi Johnson,00-0035006,WR182,457,,,,,WR
Shane Smith,00-0033719,RB148,458,,,,,RB
Quincy Enunwa,00-0031023,WR88,459,WR82,228,WR83,251,WR
Quincy Adeboyejo,00-0033366,WR183,460,,,,,WR
Gerald Everett,00-0033895,TE29,461,TE31,272,TE33,270,TE
Johnny Manziel,Johnny Manziel,QB58,462,QB45,363,,,QB
DeShone Kizer,00-0033899,QB59,463,,,,,QB
Taywan Taylor,00-0033911,WR133,464,WR111,288,WR109,288,WR
Miles Boykin,00-0035703,WR89,465,WR90,255,WR72,229,WR
Chad Kelly,00-0033597,QB60,466,,,,,QB
Giorgio Tavecchio,00-0028907,K22,467,K11,245,K18,235,K
Samaje Perine,00-0033526,RB151,468,,,,,RB
Charles Clay,00-0028112,TE80,469,TE55,371,,,TE
Deon Yelder,00-0034319,TE85,470,,,,,TE
Terrelle Pryor,00-0028825,WR172,471,WR138,336,,,WR
Darrius Heyward-Bey,00-0026983,WR184,472,,,,,WR
Ryan Mallett,Ryan Mallett,QB64,473,,,,,QB
Gus Edwards,00-0034184,RB73,474,RB74,234,RB67,223,RB
Patrick DiMarco,00-0028581,RB152,475,,,,,RB
CJ Beathard,00-0033936,QB51,476,QB40,325,QB39,320,QB
Jacquizz Rodgers,00-0028083,RB153,477,,,,,RB
Alize Mack,00-0035309,TE86,478,,,,,TE
Nick Boyle,00-0031598,TE87,479,,,,,TE
Preston Williams,00-0035350,WR90,480,WR83,230,WR90,218,WR
Nick O'Leary,00-0032117,TE88,481,,,,,TE
Roosevelt,Roosevelt,RB154,482,,,,,RB
Ian Thomas,00-0034365,TE31,483,TE30,267,TE34,279,TE
Cooper Rush,00-0033662,QB65,484,QB51,370,,,QB
Brock Osweiler,00-0029682,QB67,485,,,,,QB
Drew Stanton,00-0025430,QB68,486,,,,,QB
Josh Adams,00-0034457,RB155,487,,,,,RB
Cameron Meredith,00-0031912,WR187,488,,,,,WR
Jakobi Meyers,00-0034960,WR91,489,WR86,243,WR89,216,WR
Paxton Lynch,00-0033108,QB54,490,QB43,347,,,QB
Cullen Gillaspia,00-0035304,RB157,491,,,,,RB
Trey Quinn,00-0034339,WR92,492,WR88,250,WR92,265,WR
Antonio Callaway,00-0034772,WR93,493,WR78,205,WR81,187,WR
Rodney Adams,00-0033957,WR188,494,,,,,WR
AJ McCarron,00-0031288,QB63,495,QB50,369,,,QB
Ryan Fitzpatrick,00-0023682,QB33,496,QB32,289,QB33,293,QB
Tyrod Taylor,00-0028118,QB61,497,QB48,367,,,QB
Chase Daniel,00-0026544,QB69,498,,,,,QB
DeAndre Carter,00-0031763,WR176,499,WR142,345,,,WR
TJ Yates,TJ Yates,QB70,500,,,,,QB
Tim Boyle,00-0034177,QB71,501,,,,,QB
Willie Snead,00-0030663,WR94,502,WR94,264,WR85,253,WR
JJ Nelson,00-0032112,WR189,503,,,,,WR
Jonathan Stewart,00-0026153,RB158,504,,,,,RB
Javon Wims,00-0034426,WR190,505,,,,,WR
Khalfani Muhammad,00-0033797,RB159,506,,,,,RB
Dwayne Harris,00-0028114,WR191,507,,,,,WR
Coby Fleener,Coby Fleener,TE89,508,,,,,TE
Taquan Mizzell,00-0033373,RB160,509,,,,,RB
Darrel Williams,00-0034301,RB93,510,RB72,222,RB70,191,RB
Keith Kirkwood,00-0034317,WR192,511,,,,,WR
Josh Johnson,00-0026300,QB72,512,,,,,QB
Elijah Holyfield,00-0035442,RB161,513,,,,,RB
Torrey Smith,00-0027996,WR193,514,,,,,WR
David Moore,00-0033589,WR95,515,WR96,266,WR104,275,WR
DJ Foster,00-0032577,RB162,516,,,,,RB
Matt LaCosse,00-0031744,TE32,517,TE29,252,TE29,228,TE
Chris Ivory,00-0027531,RB133,518,RB108,327,RB102,321,RB
Kamar Aiken,00-0028497,WR194,519,,,,,WR
John Ross,00-0033460,WR98,520,WR103,278,WR103,282,WR
