player_id,player_full_name,POSITION,player_name,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0032054,Breshad Perriman,WR,B.Perriman,WR60,166.8,WR65,170.5,WR57,161
00-0029137,Alshon Jeffery,WR,A.Jeffery,WR66,167,WR63,123,WR60,143
00-0036261,Brandon Aiyuk,WR,B.Aiyuk,WR61,167.5,WR67,183,WR65,190.5
00-0036252,Michael Pittman,WR,M.Pittman,WR62,168,WR61,173.3,WR63,171
00-0034983,Hunter Renfrow,WR,H.Renfrow,WR71,168,WR64,164.5,WR67,183
00-0034440,Justin Jackson,RB,J.Jackson,RB52,168.3,RB58,168.7,RB53,157
00-0025394,Adrian Peterson,RB,A.Peterson,RB53,168.5,RB49,148.7,RB45,133
00-0036265,AJ Dillon,RB,A.Dillon,RB54,169.5,RB53,156,RB51,153.3
00-0035657,Damien Harris1,RB,D.Harris1,RB55,170.8,RB52,171,RB56,175.5
88-8888888,New Orleans Saints,DS,N.Orleans Saints,DST8,172.8,DST8,157.7,DST9,175.3
00-0033948,Jamaal Williams1,RB,J.Williams1,RB67,174,RB66,171,RB59,175.5
00-0023252,Robbie Gould,K,R.Gould,K5,174,K5,167.3,K5,179.7
00-0034301,Darrel Williams1,RB,D.Williams1,RB57,174.5,RB59,170.3,RB58,171.5
00-0033720,Chris Thompson1,RB,C.Thompson1,RB56,174.5,RB56,183.3,RB52,155.3
00-0022942,Philip Rivers,QB,P.Rivers,QB22,177.3,QB23,164.3,QB22,159.7
00-0035639,Parris Campbell,WR,P.Campbell,WR63,177.8,WR62,173.7,WR74,201
00-0036255,Denzel Mims,WR,D.Mims,WR72,181,WR70,175,WR66,176
00-0035289,Gardner Minshew,QB,G.Minshew,QB23,181,QB24,167,QB24,173.5
00-0035704,Drew Lock,QB,D.Lock,QB24,181.8,QB22,163.7,QB25,175
99-9999999,John Ross,WR,J.Ross,WR86,182,WR73,180,WR69,185
00-0022921,Larry Fitzgerald,WR,L.Fitzgerald,WR64,182.8,WR60,172.3,WR68,196.5
88-8888888,Kansas City Chiefs,DS,K.City Chiefs,DST9,183.8,DST9,163.3,DST7,157.3
00-0033862,Zane Gonzalez,K,Z.Gonzalez,K6,185.3,K7,197,K8,201
88-8888888,Los Angeles Chargers,DS,L.Angeles Chargers,DST10,187.5,DST10,194,DST11,182
88-8888888,Los Angeles Rams,DS,L.Angeles Rams,DST11,189.5,DST11,191,DST10,177.7
00-0023853,Matt Prater,K,M.Prater,K7,189.8,K6,180.7,K10,202.7
00-0031237,Teddy Bridgewater,QB,T.Bridgewater,QB26,191.3,QB26,161,QB27,170
00-0034365,Ian Thomas,TE,I.Thomas,TE28,191.5,TE26,161,TE23,166
00-0036370,Joshua Kelley,RB,J.Kelley,RB61,193.7,RB64,195,RB67,210.5
88-8888888,Indianapolis Colts,DS,I.Colts,DST12,194,DST14,229.5,DST12,206.7
00-0029615,Lamar Miller,RB,L.Miller,RB86,195,RB69,187,RB65,178
88-8888888,Denver Broncos,DS,D.Broncos,DST16,197,DST16,205.5,DST15,194.5
99-9999999,Bryce Love,RB,B.Love,RB62,199.7,RB63,231.5,RB61,228.5
00-0036410,Tee Higgins,WR,T.Higgins,WR73,201.5,WR76,188,WR71,191
88-8888888,Tampa Bay Buccaneers,DS,T.Bay Buccaneers,DST13,202.5,DST12,229.5,DST13,211.7
00-0025418,Greg Olsen,TE,G.Olsen,TE22,202.7,TE22,167.5,TE20,167
00-0028002,Randall Cobb,WR,R.Cobb,WR68,202.7,WR80,214,WR80,223
00-0031280,Derek Carr,QB,D.Carr,QB27,203.3,QB27,165.5,QB28,198
00-0036297,Darrynton Evans,RB,D.Evans,RB69,204,RB72,210,RB73,229
00-0033702,Younghoe Koo,K,Y.Koo,K8,204.5,K8,233.5,K6,211.7
00-0034975,Justice Hill1,RB,J.Hill1,RB87,206,RB71,209,RB70,220
00-0033787,Jake Elliott,K,J.Elliott,K9,206.3,K13,221,K9,207.3
00-0034970,Irv Smith2,TE,I.Smith2,TE23,206.3,TE28,188,TE26,200
00-0035269,Matt Gay,K,M.Gay,K10,208,K9,195.7,K14,205
00-0033879,O.J. Howard,TE,O.Howard,TE24,209,TE25,178.5,TE24,193.5
00-0031045,Carlos Hyde,RB,C.Hyde,RB63,209,RB61,206.7,RB63,210
88-8888888,Philadelphia Eagles,DS,P.Eagles,DST14,210,DST17,213,DST16,201.7
88-8888888,Seattle Seahawks,DS,S.Seahawks,DST15,210.8,DST24,241,DST23,242
88-8888888,Cincinnati Bengals,DS,C.Bengals,DST29,211,DST19,197,DST18,184
00-0029000,Cole Beasley,WR,C.Beasley,WR69,211.3,WR84,220,WR83,237
00-0034676,James Washington,WR,J.Washington,WR74,211.5,WR77,195,WR72,192
00-0027981,Kyle Rudolph,TE,K.Rudolph,TE25,212,TE21,169,TE28,205
00-0033839,Dede Westbrook,WR,D.Westbrook,WR75,212,WR69,172,WR70,187
00-0033871,Corey Davis,WR,C.Davis,WR76,213,WR75,185,WR76,196
00-0036331,Devin Duvernay,WR,D.Duvernay,WR91,213,WR81,215,WR81,224
00-0035217,Benny Snell,RB,B.Snell,RB58,213,RB65,212.5,RB64,213
00-0027029,LeSean McCoy,RB,L.McCoy,RB64,214,RB60,168.5,RB62,183.5
88-8888888,Tennessee Titans,DS,T.Titans,DST17,214.3,DST23,239,DST14,204
00-0031285,Devonta Freeman,RB,D.Freeman,RB65,214.3,RB70,205.5,RB75,235
00-0031136,Chris Boswell,K,C.Boswell,K11,214.5,K26,293,K19,284
00-0028660,Dan Bailey,K,D.Bailey,K12,216.8,K14,234,K11,214
00-0030663,Willie Snead,WR,W.Snead,WR93,217,WR83,218,,
00-0034750,Rashaad Penny,RB,R.Penny,RB70,218,RB68,176,RB57,170
00-0034869,Sam Darnold,QB,S.Darnold,QB28,218.3,QB29,170,QB26,169
88-8888888,Dallas Cowboys,DS,D.Cowboys,DST18,218.7,DST15,226.5,DST19,230
00-0031376,Jerick McKinnon,RB,J.McKinnon,RB60,220.3,RB62,218.3,RB66,238
00-0032726,Ka'imi Fairbairn,K,K.Fairbairn,K13,220.8,K10,217.5,K7,204.7
00-0036268,Laviska Shenault,WR,L.Shenault,WR77,221.5,WR72,202.5,WR82,227
