player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Christian McCaffrey,00-0033280,RB1,1,RB1,1,RB1,1,RB
Dalvin Cook,00-0033893,RB2,2,RB2,2,RB2,2,RB
Alvin Kamara,00-0033906,RB3,3,RB4,4,RB4,4,RB
Derrick Henry,00-0032764,RB4,4,RB3,3,RB3,3,RB
Ezekiel Elliott,00-0033045,RB5,5,RB5,5,RB5,5,RB
Davante Adams,00-0031381,WR1,6,WR1,8,WR1,8,WR
Travis Kelce,00-0030506,TE1,7,TE1,12,TE1,12,TE
Aaron Jones,00-0033293,RB6,8,RB7,7,RB7,7,RB
Saquon Barkley,00-0034844,RB7,9,RB9,10,RB9,10,RB
Nick Chubb,00-0034791,RB10,10,RB6,6,RB6,6,RB
Austin Ekeler,00-0033699,RB8,11,RB10,13,RB11,15,RB
Jonathan Taylor,00-0036223,RB9,12,RB8,9,RB8,9,RB
Tyreek Hill,00-0033040,WR2,13,WR2,11,WR2,11,WR
Stefon Diggs,00-0031588,WR3,14,WR3,14,WR3,16,WR
Najee Harris,00-0036893,RB11,15,RB11,15,RB10,14,RB
DeAndre Hopkins,00-0030564,WR4,16,WR4,18,WR5,20,WR
Antonio Gibson,00-0036328,RB12,17,RB12,16,RB12,17,RB
Patrick Mahomes II,00-0033873,QB1,18,QB1,17,QB1,13,QB
Calvin Ridley,00-0034837,WR5,19,WR5,20,WR6,21,WR
DK Metcalf,00-0035640,WR6,20,WR6,21,WR4,18,WR
Joe Mixon,00-0033897,RB13,21,RB13,19,RB13,19,RB
Darren Waller,00-0031610,TE2,22,TE2,23,TE2,24,TE
Justin Jefferson,00-0036322,WR7,23,WR7,24,WR8,25,WR
AJ Brown,00-0035676,WR8,24,WR8,25,WR7,23,WR
Clyde Edwards-Helaire,00-0036360,RB14,25,RB14,22,RB14,22,RB
George Kittle,00-0033288,TE3,26,TE3,26,TE3,30,TE
Keenan Allen,00-0030279,WR9,27,WR9,27,WR9,31,WR
Terry McLaurin,00-0035659,WR10,28,WR10,30,WR10,33,WR
Josh Allen,00-0034857,QB2,29,QB2,31,QB2,26,QB
David Montgomery,00-0035685,RB15,30,RB15,28,RB15,27,RB
Allen Robinson II,00-0031428,WR11,31,WR11,32,WR13,38,WR
Chris Carson,00-0033594,RB16,32,RB16,29,RB17,29,RB
CeeDee Lamb,00-0036358,WR12,33,WR12,34,WR12,36,WR
James Robinson,00-0035831,RB17,34,RB18,35,RB18,32,RB
Mike Evans,00-0031408,WR13,35,WR13,36,WR11,34,WR
Josh Jacobs,00-0035700,RB18,36,RB17,33,RB16,28,RB
D'Andre Swift,00-0036275,RB19,37,RB19,37,RB20,39,RB
Miles Sanders,00-0035243,RB20,38,RB20,38,RB19,35,RB
Robert Woods,00-0030431,WR14,39,WR15,41,WR15,42,WR
Kyler Murray,00-0035228,QB3,40,QB3,39,QB3,37,QB
Amari Cooper,00-0031544,WR15,41,WR16,42,WR17,44,WR
Chris Godwin,00-0033921,WR16,42,WR14,40,WR14,41,WR
Lamar Jackson,00-0034796,QB4,43,QB4,43,QB4,40,QB
Cooper Kupp,00-0033908,WR17,44,WR17,44,WR19,51,WR
Julio Jones,00-0027944,WR18,45,WR18,45,WR16,43,WR
Kyle Pitts,00-0036970,TE4,46,TE4,46,TE4,49,TE
Tyler Lockett,00-0032211,WR19,47,WR19,47,WR20,56,WR
Myles Gaskin,00-0035311,RB21,48,RB22,49,RB21,45,RB
Mark Andrews,00-0034753,TE5,49,TE5,50,TE5,54,TE
Adam Thielen,00-0030035,WR20,50,WR21,52,WR18,47,WR
Diontae Johnson,00-0035216,WR21,51,WR22,54,WR22,60,WR
DJ Moore,00-0034827,WR22,52,WR20,51,WR21,57,WR
Aaron Rodgers,00-0023459,QB5,53,QB7,58,QB5,46,QB
Russell Wilson,00-0029263,QB6,54,QB6,57,QB6,50,QB
Dak Prescott,00-0033077,QB7,55,QB5,55,QB7,53,QB
Mike Davis,00-0032063,RB22,56,RB39,131,RB23,52,RB
Kareem Hunt,00-0033923,RB23,57,RB23,53,RB22,48,RB
TJ Hockenson,00-0035229,TE6,58,TE6,56,TE6,65,TE
Darrell Henderson,00-0035664,RB24,59,RB21,48,RB25,58,RB
Javonte Williams,00-0036997,RB25,60,RB27,65,RB26,61,RB
Brandon Aiyuk,00-0036261,WR23,61,WR23,59,WR23,66,WR
Chase Edmonds,00-0034681,RB26,62,RB26,64,RB27,62,RB
Justin Herbert,00-0036355,QB8,63,QB8,60,QB8,59,QB
Tee Higgins,00-0036410,WR24,64,WR24,63,WR27,72,WR
Gus Edwards,00-0034184,RB27,65,RB28,68,RB29,64,RB
Odell Beckham,00-0031235,WR25,66,WR26,67,WR25,69,WR
Raheem Mostert,00-0031687,RB28,67,RB24,61,RB24,55,RB
Chase Claypool,00-0036326,WR26,68,WR25,66,WR24,67,WR
JuJu Smith-Schuster,00-0033857,WR27,69,WR32,79,WR31,77,WR
Tom Brady,00-0019596,QB9,70,QB9,70,QB9,68,QB
Damien Harris,00-0035657,RB29,71,RB25,62,RB28,63,RB
Jerry Jeudy,00-0036407,WR28,72,WR27,69,WR30,75,WR
Ja'Marr Chase,00-0036900,WR29,73,WR28,71,WR26,71,WR
Kenny Golladay,00-0033932,WR30,74,WR29,74,WR29,74,WR
DeVonta Smith,00-0036912,WR31,75,WR35,83,WR33,83,WR
Robbie Chosen,00-0032688,WR32,76,WR31,78,WR34,84,WR
Michael Thomas,00-0032765,WR33,77,WR30,75,WR28,73,WR
Melvin Gordon,00-0032144,RB30,78,RB31,76,RB30,70,RB
Courtland Sutton,00-0034348,WR34,79,WR33,81,WR32,80,WR
Logan Thomas,00-0031260,TE7,80,TE7,77,TE7,82,TE
Noah Fant,00-0035644,TE8,81,TE8,80,TE9,93,TE
Leonard Fournette,00-0033856,RB31,82,RB32,86,RB33,79,RB
Trey Sermon,00-0036984,RB32,83,RB29,72,RB32,78,RB
Deebo Samuel,00-0035719,WR35,84,WR34,82,WR35,87,WR
Matthew Stafford,00-0026498,QB10,85,QB10,87,QB10,81,QB
Robert Tonyan,00-0033757,TE9,86,TE9,84,TE8,86,TE
Tyler Boyd,00-0033009,WR36,87,WR37,88,WR37,91,WR
Ronald Jones,00-0034816,RB33,88,RB30,73,RB31,76,RB
Laviska Shenault,00-0036268,WR37,89,WR40,100,WR42,104,WR
Brandin Cooks,00-0031236,WR38,90,WR39,99,WR39,98,WR
Ryan Tannehill,00-0029701,QB11,91,QB12,92,QB11,85,QB
Michael Carter,00-0036924,RB34,92,RB33,89,RB37,95,RB
Antonio Brown,00-0027793,WR39,93,WR36,85,WR36,88,WR
Corey Davis,00-0033871,WR40,94,WR41,101,WR41,102,WR
Jalen Hurts,00-0036389,QB12,95,QB11,90,QB12,96,QB
Dallas Goedert,00-0034351,TE10,96,TE11,95,TE10,100,TE
James Conner,00-0033553,RB35,97,RB36,96,RB36,92,RB
DJ Chark,00-0034777,WR41,98,WR38,97,WR38,94,WR
Jarvis Landry,00-0031382,WR42,99,WR42,107,WR40,99,WR
Tampa Bay Buccaneers,TB,DST1,100,DST2,102,DST3,108,DST
AJ Dillon,00-0036265,RB36,101,RB34,91,RB34,89,RB
Kenyan Drake,00-0033118,RB37,102,RB37,104,RB40,109,RB
Michael Pittman,00-0036252,WR43,103,WR45,116,WR43,110,WR
Zack Moss,00-0036251,RB38,104,RB35,93,RB35,90,RB
Jaylen Waddle,00-0036613,WR44,105,WR44,114,WR44,116,WR
Los Angeles Rams,LA,DST2,106,DST1,98,DST1,103,DST
Mike Gesicki,00-0034829,TE11,107,TE13,115,TE12,113,TE
William Fuller,00-0033127,WR45,108,WR43,112,WR47,120,WR
Pittsburgh Steelers,PIT,DST3,109,DST3,103,DST2,106,DST
Joe Burrow,00-0036442,QB13,110,QB13,110,QB13,107,QB
Tyler Higbee,00-0033110,TE12,111,TE10,94,TE13,114,TE
Devin Singletary,00-0035250,RB39,112,RB38,105,RB38,97,RB
Jamaal Williams,00-0033948,RB40,113,RB40,106,RB41,111,RB
Sony Michel,00-0034845,RB41,114,RB42,113,RB39,105,RB
Michael Gallup,00-0034764,WR46,115,WR48,122,WR50,125,WR
Curtis Samuel,00-0033282,WR47,116,WR49,125,WR52,132,WR
Washington Commanders,WAS,DST4,117,DST4,108,DST4,118,DST
Marvin Jones,00-0029293,WR48,118,WR53,135,WR54,140,WR
Jonnu Smith,00-0033858,TE13,119,TE14,140,TE14,137,TE
Marquez Callaway,00-0036219,WR49,120,WR46,117,WR46,119,WR
Mike Williams,00-0033536,WR50,121,WR47,118,WR45,117,WR
Marquise Brown,00-0035662,WR51,122,WR54,136,WR49,124,WR
Baltimore Ravens,BAL,DST5,123,DST5,119,DST5,122,DST
Nyheim Hines,00-0034367,RB42,124,RB44,127,RB44,135,RB
Rob Gronkowski,00-0027656,TE14,125,TE12,111,TE11,101,TE
Harrison Butker,00-0033303,K1,126,K2,121,K2,121,K
Justin Tucker,00-0029597,K2,127,K1,120,K1,115,K
Trevor Lawrence,00-0036971,QB14,128,QB14,126,QB14,128,QB
Darnell Mooney,00-0036309,WR52,129,WR51,130,WR53,136,WR
Henry Ruggs,00-0036357,WR53,130,WR52,132,WR51,127,WR
David Johnson,00-0032187,RB43,131,RB41,109,RB42,112,RB
Tony Pollard,00-0035261,RB44,132,RB43,124,RB43,126,RB
Mecole Hardman,00-0035140,WR54,133,WR50,128,WR48,123,WR
DeVante Parker,00-0031547,WR55,134,WR59,154,WR56,149,WR
San Francisco 49ers,SF,DST6,135,DST6,123,DST7,134,DST
Baker Mayfield,00-0034855,QB15,136,QB15,133,QB16,130,QB
Buffalo Bills,BUF,DST7,137,DST8,152,DST6,131,DST
JD McKissic,00-0032602,RB45,138,RB49,151,RB46,145,RB
Justin Fields,00-0036945,QB16,139,QB17,138,QB17,139,QB
Matt Ryan,00-0026143,QB17,140,QB16,137,QB15,129,QB
Younghoe Koo,00-0033702,K3,141,K3,129,K3,133,K
Cole Beasley,00-0029000,WR56,142,WR56,143,WR55,142,WR
Jakobi Meyers,00-0034960,WR57,143,WR55,139,WR57,150,WR
Elijah Moore,00-0036980,WR58,144,WR57,144,WR60,144,WR
Phillip Lindsay,00-0034109,RB46,145,RB50,153,RB49,160,RB
Russell Gage,00-0034411,WR59,146,WR58,150,WR59,168,WR
Trey Lance,00-0037012,QB18,147,QB18,141,QB18,143,QB
Indianapolis Colts,IND,DST8,148,DST9,171,DST8,151,DST
James White,00-0031062,RB47,149,RB48,149,RB53,186,RB
Hunter Henry,00-0033090,TE15,150,TE15,155,TE16,152,TE
Alexander Mattison,00-0034972,RB48,151,RB45,142,RB45,141,RB
Tyler Bass,00-0036162,K4,152,K4,134,K4,147,K
Kirk Cousins,00-0029604,QB19,153,QB20,162,QB19,153,QB
Tua Tagovailoa,00-0036212,QB20,154,QB21,163,QB23,171,QB
New England Patriots,NE,DST9,155,DST10,172,DST9,159,DST
Evan Engram,00-0033881,TE16,156,TE19,179,TE18,165,TE
Denver Broncos,DEN,DST10,157,DST7,146,DST10,170,DST
Jason Sanders,00-0034794,K5,158,K6,157,K6,163,K
Ben Roethlisberger,00-0022924,QB21,159,QB22,169,QB21,158,QB
Zach Ertz,00-0030061,TE17,160,TE16,161,TE17,155,TE
Jared Cook,00-0027061,TE18,161,TE18,178,TE15,154,TE
Ryan Succop,00-0026968,K6,162,K7,164,K7,173,K
Tevin Coleman,00-0032058,RB49,163,RB47,148,RB48,148,RB
Jameis Winston,00-0031503,QB22,164,QB23,170,QB20,157,QB
Rhamondre Stevenson,00-0036875,RB50,165,RB46,145,RB47,146,RB
Sterling Shepard,00-0032385,WR60,166,WR67,176,WR62,172,WR
Austin Hooper,00-0032392,TE19,167,TE21,213,TE22,201,TE
Cleveland Browns,CLE,DST11,168,DST11,174,DST11,188,DST
Giovani Bernard,00-0030456,RB51,169,RB53,168,RB55,178,RB
Nelson Agholor,00-0031549,WR61,170,WR62,180,WR58,164,WR
Chuba Hubbard,00-0036555,RB52,171,RB51,159,RB51,138,RB
Mac Jones,00-0036972,QB23,172,QB19,156,QB22,169,QB
Rondale Moore,00-0036936,WR62,173,WR61,166,WR63,181,WR
Rodrigo Blankenship,00-0035849,K7,174,K8,185,K5,162,K
Greg Zuerlein,00-0029621,K8,175,K5,147,K8,177,K
Kenneth Gainwell,00-0036919,RB53,176,RB58,181,RB56,182,RB
Gerald Everett,00-0033895,TE20,177,TE17,173,TE20,175,TE
Ryan Fitzpatrick,00-0023682,QB24,178,QB24,194,QB24,179,QB
Daniel Carlson,00-0034161,K9,179,K14,231,K11,214,K
Jordan Akins,00-0034364,TE32,180,TE28,190,TE28,200,TE
Kansas City Chiefs,KC,DST12,181,DST12,204,DST13,204,DST
Derek Carr,00-0031280,QB25,182,QB27,192,QB25,187,QB
Cole Kmet,00-0036290,TE21,183,TE23,220,TE24,243,TE
Jalen Reagor,00-0036387,WR63,184,WR66,167,WR70,196,WR
Tyrell Williams,00-0032160,WR64,185,WR64,188,WR80,252,WR
New Orleans Saints,NO,DST13,186,DST19,258,DST22,271,DST
Rashaad Penny,00-0034750,RB54,187,RB54,175,RB54,156,RB
Terrace Marshall,00-0036955,WR65,188,WR60,165,WR64,183,WR
Miami Dolphins,MIA,DST14,189,DST13,216,DST12,193,DST
Zach Wilson,00-0037013,QB26,190,QB25,195,QB26,206,QB
Jason Myers,00-0031492,K10,191,K13,230,K12,217,K
Latavius Murray,00-0030513,RB55,192,RB52,160,RB50,161,RB
Mason Crosby,00-0025580,K11,193,K9,209,K9,205,K
Emmanuel Sanders,00-0027685,WR66,194,WR71,187,WR76,235,WR
Brandon McManus,00-0029822,K14,195,K15,224,K15,233,K
AJ Green,00-0027942,WR67,196,WR63,182,WR65,192,WR
Amon-Ra St Brown,00-0036963,WR71,197,WR72,191,WR66,194,WR
Ty'Son Williams,00-0036457,RB56,198,RB59,189,RB62,180,RB
Randall Cobb,00-0028002,WR68,199,WR68,177,WR67,195,WR
Devontae Booker,00-0032972,RB65,200,RB60,196,RB60,202,RB
Giovanni Ricci,00-0035956,TE33,201,,,,,TE
Wil Lutz,00-0032569,K17,202,K12,199,K16,236,K
Gabe Davis,00-0036196,WR69,203,WR70,184,WR68,197,WR
Tarik Cohen,00-0033556,RB59,204,RB67,232,RB74,255,RB
Tony Jones,00-0035860,RB60,205,RB61,197,RB58,191,RB
Matt Prater,00-0023853,K12,206,K11,227,K14,216,K
Daniel Jones,00-0035710,QB27,207,QB29,239,QB29,261,QB
Green Bay Packers,GB,DST15,208,DST17,251,DST16,231,DST
Bryan Edwards,00-0036365,WR70,209,WR65,158,WR61,166,WR
Adam Trautman,00-0036422,TE26,210,TE24,223,TE25,245,TE
Matt Gay,00-0035269,K13,211,K16,243,K13,232,K
Deshaun Watson,00-0033537,QB28,212,QB26,219,QB27,226,QB
Christian Kirk,00-0034775,WR73,213,WR77,212,WR75,227,WR
Pat Freiermuth,00-0036894,TE22,214,TE20,186,TE19,167,TE
