player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Jonathan Taylor,00-0036223,RB1,1,RB1,1,RB1,1,RB
Christian McCaffrey,00-0033280,RB2,2,RB2,2,RB2,2,RB
Austin Ekeler,00-0033699,RB3,3,RB3,3,RB3,3,RB
Cooper Kupp,00-0033908,WR1,4,WR1,5,WR1,7,WR
Derrick Henry,00-0032764,RB4,5,RB4,4,RB4,4,RB
Justin Jefferson,00-0036322,WR2,6,WR2,7,WR2,8,WR
Dalvin Cook,00-0033893,RB5,7,RB5,6,RB5,5,RB
Najee Harris,00-0036893,RB6,8,RB6,8,RB6,6,RB
Ja'Marr Chase,00-0036900,WR3,9,WR3,9,WR3,10,WR
Joe Mixon,00-0033897,RB7,10,RB7,10,RB7,9,RB
Davante Adams,00-0031381,WR4,11,WR4,11,WR4,13,WR
Stefon Diggs,00-0031588,WR5,12,WR5,12,WR5,15,WR
Alvin Kamara,00-0033906,RB8,13,RB9,15,RB8,11,RB
Travis Kelce,00-0030506,TE1,14,TE1,14,TE1,16,TE
D'Andre Swift,00-0036275,RB9,15,RB8,13,RB9,12,RB
Deebo Samuel,00-0035719,WR6,16,WR9,25,WR7,22,WR
Aaron Jones,00-0033293,RB10,17,RB10,16,RB13,20,RB
CeeDee Lamb,00-0036358,WR7,18,WR6,17,WR6,21,WR
Tyreek Hill,00-0033040,WR8,19,WR7,21,WR8,23,WR
Nick Chubb,00-0034791,RB11,20,RB12,19,RB10,14,RB
Saquon Barkley,00-0034844,RB12,21,RB11,18,RB11,17,RB
Josh Allen,00-0030833,QB1,22,QB1,20,QB1,19,QB
Mark Andrews,00-0034753,TE2,23,TE2,26,TE2,25,TE
Leonard Fournette,00-0033856,RB13,24,RB13,22,RB14,24,RB
Javonte Williams,00-0036997,RB14,25,RB14,23,RB12,18,RB
Mike Evans,00-0031408,WR9,26,WR8,24,WR9,28,WR
Keenan Allen,00-0030279,WR10,27,WR12,31,WR11,32,WR
James Conner,00-0033553,RB15,28,RB16,28,RB15,26,RB
Patrick Mahomes II,00-0033873,QB2,29,QB2,34,QB2,30,QB
Ezekiel Elliott,00-0033045,RB16,30,RB15,27,RB16,27,RB
AJ Brown,00-0035676,WR11,31,WR11,30,WR10,29,WR
Kyle Pitts,00-0036970,TE3,32,TE3,32,TE3,31,TE
Michael Pittman,00-0036252,WR12,33,WR10,29,WR12,33,WR
Tee Higgins,00-0036410,WR13,34,WR13,33,WR13,35,WR
Justin Herbert,00-0036355,QB3,35,QB3,35,QB3,34,QB
David Montgomery,00-0035685,RB17,36,RB19,42,RB19,38,RB
Cam Akers,00-0036414,RB18,37,RB20,43,RB18,37,RB
George Kittle,00-0033288,TE4,38,TE4,37,TE4,40,TE
Travis Etienne,00-0036973,RB19,39,RB17,38,RB17,36,RB
Terry McLaurin,00-0035659,WR14,40,WR16,41,WR17,45,WR
Lamar Jackson,00-0034796,QB4,41,QB4,44,QB4,41,QB
DJ Moore,00-0034827,WR15,42,WR14,36,WR14,39,WR
Diontae Johnson,00-0035216,WR16,43,WR18,48,WR18,46,WR
Darren Waller,00-0031610,TE5,44,TE5,47,TE5,49,TE
Mike Williams,00-0033536,WR17,45,WR15,40,WR16,43,WR
Jaylen Waddle,00-0036613,WR18,46,WR19,49,WR19,52,WR
DK Metcalf,00-0035640,WR19,47,WR21,52,WR20,54,WR
Josh Jacobs,00-0035700,RB20,48,RB22,50,RB22,48,RB
Elijah Mitchell,00-0036567,RB21,49,RB21,46,RB21,47,RB
JK Dobbins,00-0036158,RB22,50,RB24,54,RB23,50,RB
Breece Hall,00-0038120,RB23,51,RB18,39,RB20,44,RB
