player_id,player_name,pass_touchdown,rush_touchdown,rec_touchdown,passing_yards,rushing_yards,receiving_yards,receptions,targets,interception,fumble_lost,two_point_pass_success,two_point_rush_success,two_point_rec_success,kick_return_touchdown,punt_return_touchdown,fg_made_0-39,fg_made_40-49,fg_made_50-59,fg_made_60+,fg_missed_0-39,fg_missed_40-49,fg_missed_50-59,fg_missed_60+,pat_made,pat_missed,fppr,hppr
00-0036328,A.Gibson,0.0,7.0,3.0,0.0,1037.0,294.0,42.0,53.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.100004196167,229.100004196167
00-0036331,D.Duvernay,0.0,0.0,2.0,0.0,50.0,272.0,33.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.20000076293945,77.20000076293945
00-0036332,J.Deguara,0.0,0.0,2.0,0.0,0.0,245.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,61.5
00-0036336,A.McFarland,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.400000035762787,2.400000035762787
00-0036345,K.Osborn,0.0,0.0,7.0,0.0,10.0,655.0,50.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.5,158.5
00-0036355,J.Herbert,38.0,3.0,0.0,5014.0,302.0,0.0,0.0,1.0,15.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.7599983215332,380.7599983215332
00-0036357,H.Ruggs,0.0,0.0,2.0,0.0,16.0,469.0,24.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.50000154972076,84.50000154972076
00-0036358,C.Lamb,0.0,0.0,6.0,0.0,76.0,1102.0,79.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.8000044822693,232.8000044822693
00-0036360,C.Edwards-Helaire,0.0,4.0,2.0,0.0,517.0,129.0,19.0,25.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.60000133514404,117.60000133514404
00-0036365,B.Edwards,0.0,0.0,3.0,0.0,0.0,571.0,34.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.10000228881836,109.10000228881836
00-0036370,J.Kelley,0.0,0.0,0.0,0.0,102.0,38.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.99999976158142,16.99999976158142
00-0036382,K.Hill,0.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
00-0036383,E.Benjamin,0.0,1.0,0.0,0.0,118.0,42.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.000000476837158,28.000000476837158
00-0036386,A.Thomas,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.200000002980232,7.200000002980232
00-0036387,J.Reagor,0.0,0.0,2.0,0.0,32.0,299.0,33.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.09999966621399,78.09999966621399
