player_id,player_name,pass_touchdown,rush_touchdown,rec_touchdown,passing_yards,rushing_yards,receiving_yards,receptions,targets,interception,fumble_lost,two_point_pass_success,two_point_rush_success,two_point_rec_success,kick_return_touchdown,punt_return_touchdown,fg_made_0-39,fg_made_40-49,fg_made_50-59,fg_made_60+,fg_missed_0-39,fg_missed_40-49,fg_missed_50-59,fg_missed_60+,pat_made,pat_missed,fppr,hppr
00-0004091,P.Dawson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,28.0,28.0
00-0016919,A.Vinatieri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,47.0,3.0,125.0,125.0
00-0019596,T.Brady,29.0,2.0,0.0,4355.0,35.0,6.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.29999697208405,281.29999697208405
00-0019646,S.Janikowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,0.0,2.0,1.0,3.0,0.0,48.0,3.0,129.0,129.0
00-0020531,D.Brees,32.0,4.0,0.0,3992.0,22.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.9799927249551,304.9799927249551
00-0020578,M.Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,33.0,2.0,107.0,107.0
00-0021206,J.McCown,1.0,0.0,0.0,539.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7599995136261,20.7599995136261
00-0021547,A.Gates,0.0,0.0,2.0,0.0,0.0,368.0,32.0,52.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79999923706055,82.79999923706055
00-0022787,M.Schaub,0.0,0.0,0.0,20.0,0.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999642372131,1.0999999642372131
00-0022803,E.Manning,21.0,1.0,0.0,4299.0,20.0,0.0,0.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.95999145507812,239.95999145507812
00-0022921,L.Fitzgerald,1.0,0.0,6.0,32.0,0.0,734.0,69.0,113.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.68000149726868,185.68000149726868
00-0022924,B.Roethlisberger,34.0,3.0,0.0,5129.0,98.0,-1.0,1.0,1.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.85998859256506,341.85998859256506
00-0022942,P.Rivers,32.0,0.0,0.0,4468.0,22.0,0.0,0.0,0.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.92000126838684,294.92000126838684
00-0022943,B.Watson,0.0,0.0,2.0,0.0,0.0,400.0,35.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0
00-0023252,R.Gould,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,2.0,138.0,138.0
00-0023436,A.Smith,10.0,1.0,0.0,2180.0,168.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.99999809265137,137.99999809265137
00-0023459,A.Rodgers,25.0,2.0,0.0,4442.0,269.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.5799922943115,312.5799922943115
00-0023482,M.Nugent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,26.0
00-0023500,F.Gore,0.0,0.0,1.0,0.0,722.0,124.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.60000514984131,102.60000514984131
00-0023564,D.Sproles,0.0,1.0,2.0,0.0,141.0,174.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,66.5
00-0023645,D.Anderson,0.0,0.0,0.0,465.0,-1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50000037997961,6.50000037997961
00-0023662,M.Cassel,0.0,0.0,0.0,59.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659999966621399,1.659999966621399
00-0023682,R.Fitzpatrick,17.0,2.0,0.0,2366.0,152.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.83999919891357,165.83999919891357
00-0023853,M.Prater,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,30.0,0.0,125.31999999284744,125.31999999284744
00-0024061,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0
00-0024221,V.Davis,0.0,0.0,2.0,0.0,0.0,367.0,25.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.70000076293945,75.70000076293945
00-0024243,M.Lewis,0.0,0.0,0.0,0.0,0.0,39.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.900000095367432,6.900000095367432
00-0024333,S.Gostkowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,49.0,1.0,133.0,133.0
00-0024334,B.Marshall,0.0,0.0,1.0,0.0,0.0,136.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.600000381469727,30.600000381469727
00-0024348,K.Williams,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000357627869,1.9000000357627869
00-0024389,D.Walker,0.0,0.0,0.0,0.0,0.0,52.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.200000286102295,9.200000286102295
00-0024417,S.Koch,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399999737739563,0.8399999737739563
00-0025394,A.Peterson,0.0,7.0,1.0,0.0,1042.0,208.0,20.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0000057220459,189.0000057220459
00-0025396,T.Ginn,0.0,0.0,2.0,0.0,26.0,209.0,17.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.49999976158142,52.49999976158142
00-0025399,M.Lynch,0.0,3.0,0.0,0.0,376.0,84.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00000286102295,79.00000286102295
